################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    conf      Configuration index (starting with 1).
# 2    index     Atom index (starting with 1).
# 3    Z         Nuclear charge of atom.
# 4    Qref      Reference atomic charge.
# 5    Qnnp      NNP atomic charge.
# 6    Eref_atom Reference atomic energy contribution.
# 7    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
#############################################################################################################################
#        1          2   3                        4                        5                        6                        7
#     conf      index   Z                     Qref                     Qnnp                Eref_atom                Ennp_atom
#############################################################################################################################
         1          1  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -4.8615147886263900E-02
         1          2  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.0228654114731978E-01
         1          3  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.9812998349253810E-01
         1          4  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7945390368928218E-01
         1          5  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -9.9098534012132020E-02
         1          6  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.1589411187456011E-02
         1          7  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -9.0363059334446015E-04
         1          8  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.1134197866766998E-01
         1          9  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.8725698103345700E-01
         1         10  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.9489166557003085E-01
         1         11  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5156414767746057E-01
         1         12  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7406929881089603E-01
         1         13  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.0790225652711075E-01
         1         14  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.8378666484479087E-02
         1         15  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5731975852533844E-01
         1         16  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5662190775396739E-01
         1         17  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5010195426850254E-01
         1         18  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.9428529196967040E-01
         1         19  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.3900820685011483E-01
         1         20  16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   4.9085247036424522E-02
         1         21  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.8746644999039058E-01
         1         22  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7305461798195582E-01
         1         23  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.6366677779825298E-01
         1         24  29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7444180369629803E-01
