################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1          1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.8575026435404697E-02  -1.2623893766776520E-01  -2.1077682456117977E-01
         1          2   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -6.8165528851008989E-02   4.0003388941866426E-02   8.5055273832970388E-02
         1          3   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.8652230332857332E-03   1.8442417248149649E-02  -1.8853380106189636E-02
         1          4   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.5132685930784432E-02   6.4976821527355649E-02   3.4622299191006060E-02
         1          5   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.3842291406786640E-03   7.9473683540452443E-03   4.3640840692969973E-02
         1          6   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.3891022839098396E-01   5.2802642514960503E-03  -6.7916659807299287E-02
         1          7   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.1654423453516913E-01   1.8531497577246603E-01  -2.4702576824309787E-02
         1          8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.1285465595717529E-01  -9.7044984652252683E-02  -5.7978052243996610E-02
         1          9   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   6.6529677394324008E-03   1.3836683680031089E-02   3.8940112497423497E-02
         1         10   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.4092437413809439E-02  -8.7741603628365361E-02   2.7706670892676567E-04
         1         11   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.8238797298521237E-02  -1.8994307991030517E-02   1.6694846200176593E-02
         1         12   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   6.6753792967226083E-02   5.3437750385563976E-02  -7.2758192603642663E-02
