################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    conf      Configuration index (starting with 1).
# 2    index     Atom index (starting with 1).
# 3    Z         Nuclear charge of atom.
# 4    Qref      Reference atomic charge.
# 5    Qnnp      NNP atomic charge.
# 6    Eref_atom Reference atomic energy contribution.
# 7    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
#############################################################################################################################
#        1          2   3                        4                        5                        6                        7
#     conf      index   Z                     Qref                     Qnnp                Eref_atom                Ennp_atom
#############################################################################################################################
         1          1   8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.6554555691507185E-01
         1          2   1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7368786216595969E-01
         1          3   8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.6517383015261362E-01
         1          4   8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.6591814763201208E-01
         1          5   1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7380833911571938E-01
         1          6   1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7372215184178152E-01
         1          7   8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.6543272918050729E-01
         1          8   1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7385420523025719E-01
         1          9   1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7394591394729217E-01
         1         10   1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7389117497401982E-01
         1         11   8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.6548635934256335E-01
         1         12   1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7377346821453760E-01
         1         13   1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7398981421772547E-01
         1         14   8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.6537176608767408E-01
         1         15   8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.6555100430104942E-01
         1         16   1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.7384505614277246E-01
