################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1          1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.9152528617084677E-03   1.6091864716120889E-03  -2.3860114564686983E-03
         1          2   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.7052362325473340E-04   5.0405216587077201E-05   3.7840571823735993E-03
         1          3   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.5803643762353546E-04  -3.3745688362863090E-03   2.4209476830345852E-03
         1          4   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.4962422220001154E-03  -2.0814452822305427E-03  -3.7309410710706643E-03
         1          5   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.5112004027916836E-04   1.9004791608243394E-04   4.2411383906753378E-03
         1          6   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.1589590647966982E-03   1.8247208654872599E-03  -1.1161759644886732E-03
         1          7   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.1023185124388003E-03   1.6781880267862286E-03  -2.3529876095761460E-03
         1          8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.2858289493473662E-04  -3.7646492907433085E-03   1.5113190193148513E-03
         1          9   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.3387646054502912E-03   1.5841796553149050E-03   1.5521482675308709E-03
         1         10   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -4.5356910815836271E-04   3.5772957295362637E-03  -1.1250267830329203E-03
         1         11   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.2096404076673806E-05   3.7821245687724939E-03   3.1361821137996814E-03
         1         12   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -8.0173593128102534E-05  -3.5679519435505391E-03   9.9161613600089399E-04
         1         13   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.4599855550914803E-04  -3.0361959978317466E-04  -3.8442933692190264E-03
         1         14   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   7.2345113268369428E-06  -3.9626544288912579E-03  -2.3091617498099816E-03
         1         15   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.7943287997140971E-03  -2.3453764026004163E-03   2.4246929902262291E-03
         1         16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.2585123201426115E-03  -1.5081179796981410E-03  -1.2754820780992594E-03
         1         17   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.3218678277264864E-03  -2.3491617453379127E-03  -2.9476847727772262E-03
         1         18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.2782619490336782E-03   2.2017292140816161E-03  -9.5649063212473867E-04
         1         19   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.5277556515117829E-03   1.7902706436864989E-03   2.5855203039307751E-03
         1         20   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.2315285189571808E-04  -3.6617221348334739E-03  -1.5028682231043415E-03
         1         21   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.8839383485987475E-03   1.5406916243521124E-03  -1.5351736840067301E-03
         1         22   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.6867971339579366E-03  -1.5911827434017215E-03   2.9680028193657931E-03
