################################################################################
# Energy vs. volume comparison.
################################################################################
# Col  Name        Description
################################################################################
# 1    V_atom      Volume per atom.
# 2    Eref_atom   Reference energy per atom.
# 3    N           Number of atoms.
# 4    V           Volume of structure.
# 5    Eref        Reference energy of structure.
# 6    Eref_offset Reference energy of structure (including offset).
###############################################################################################
#              1                2          3                4                5                6
#         V_atom        Eref_atom          N                V             Eref      Eref_offset
###############################################################################################
  7.24647396E+01  -2.55254517E+01         48   3.47830750E+03  -1.22522168E+03  -1.22522168E+03
  7.15985365E+01  -2.55254491E+01         48   3.43672975E+03  -1.22522156E+03  -1.22522156E+03
  7.07426876E+01  -2.55254423E+01         48   3.39564900E+03  -1.22522123E+03  -1.22522123E+03
  6.98970632E+01  -2.55254313E+01         48   3.35505903E+03  -1.22522070E+03  -1.22522070E+03
  6.90615506E+01  -2.55254157E+01         48   3.31495443E+03  -1.22521996E+03  -1.22521996E+03
  6.82360225E+01  -2.55253954E+01         48   3.27532908E+03  -1.22521898E+03  -1.22521898E+03
  6.74203660E+01  -2.55253702E+01         48   3.23617757E+03  -1.22521777E+03  -1.22521777E+03
  6.66144561E+01  -2.55253400E+01         48   3.19749389E+03  -1.22521632E+03  -1.22521632E+03
  7.33376984E+01  -2.55254503E+01         48   3.52020952E+03  -1.22522162E+03  -1.22522162E+03
  7.42211742E+01  -2.55254453E+01         48   3.56261636E+03  -1.22522138E+03  -1.22522138E+03
  7.51152861E+01  -2.55254369E+01         48   3.60553373E+03  -1.22522097E+03  -1.22522097E+03
  7.60201756E+01  -2.55254250E+01         48   3.64896843E+03  -1.22522040E+03  -1.22522040E+03
  7.69359678E+01  -2.55254101E+01         48   3.69292645E+03  -1.22521968E+03  -1.22521968E+03
  7.78627896E+01  -2.55253921E+01         48   3.73741390E+03  -1.22521882E+03  -1.22521882E+03
  7.88007742E+01  -2.55253713E+01         48   3.78243716E+03  -1.22521782E+03  -1.22521782E+03
  7.97500655E+01  -2.55253478E+01         48   3.82800315E+03  -1.22521670E+03  -1.22521670E+03
  8.07107900E+01  -2.55253218E+01         48   3.87411792E+03  -1.22521545E+03  -1.22521545E+03
  8.16830818E+01  -2.55252934E+01         48   3.92078793E+03  -1.22521409E+03  -1.22521409E+03
  8.26670893E+01  -2.55252628E+01         48   3.96802028E+03  -1.22521261E+03  -1.22521261E+03
  8.36629527E+01  -2.55252300E+01         48   4.01582173E+03  -1.22521104E+03  -1.22521104E+03
