energy             :real:0:
 -5.2654755759435269E-02
gradient           :real:2:3,48
  3.0980679882304272E-07  8.8231921336623279E-06 -3.0323376471799636E-07
  8.6737030803886698E-08 -8.5329271546769251E-06 -1.5874765978815753E-05
 -8.7606414001438743E-06 -5.0406220510501030E-06 -9.2505475133238178E-07
  9.2035170080770562E-06  4.1365562840226155E-06 -1.5137726607945865E-05
  8.7549713629200405E-06 -4.2074277586629497E-06  1.5187280010487121E-05
 -8.7487624112814886E-06  4.7115014679720610E-06  1.2172476386021993E-06
  3.3845613426668584E-08  8.8171433937291048E-06  1.5352488163499839E-05
  5.1522013309374763E-07 -8.8365311173240961E-06  7.1228911768864759E-07
 -8.8631402695921126E-06  4.8691984723934242E-06 -1.1534526888067794E-06
 -9.0964031468601273E-06 -4.4657867969290753E-06 -1.4508347396891988E-05
  8.8451232821042272E-06  4.1533097192430137E-06 -1.7586125132563310E-06
  8.7554612098423121E-06 -4.6954617071253824E-06 -1.5266706860535117E-05
 -9.0546131699218161E-06  4.8103719598757416E-06  1.5065424094626947E-05
 -8.6897830617296516E-06 -4.2013742668034528E-06  1.3393678435749107E-06
  9.1417657537896279E-06  4.9602778944017776E-06  1.5150985428179346E-05
  8.5249730585798500E-06 -4.9152154669725310E-06  6.0017117419408620E-07
 -1.1865832533596510E-05 -1.2084355218051830E-05 -5.9259061731895852E-06
  1.2910526001784408E-05 -5.8241814335951863E-06 -1.2433296379997506E-05
  2.8916184004901698E-07  1.3117702563086355E-05 -1.4998755585476298E-05
 -4.2829265762503405E-06 -8.8886233031237422E-07  1.5353564752258407E-05
  2.7295727389928011E-06  1.5413685622209742E-05 -5.7875320934168125E-06
  1.5054227029391401E-05 -5.1934329570953904E-06 -4.4800977636168527E-06
 -1.5680951034331669E-05 -2.7783563590123431E-06 -5.7431855294238949E-06
  4.2881585419060882E-06 -2.4200778296858285E-06  1.5476601830279492E-05
 -1.6021613856657073E-05  3.3301465265207708E-06  6.6623592181762506E-06
 -3.9028261310148232E-06  2.5860908555017125E-06 -1.5189341173020489E-05
  1.5168483210690595E-05  5.1059338401210305E-06  3.2571197079124232E-06
  3.9013489162301264E-06 -1.5598027727506684E-05  5.6368054878599172E-06
 -5.7528474952855530E-07 -1.3197136880611940E-05  1.5114895441003865E-05
  3.9611811845652545E-06  1.4557322983646082E-06 -1.5583725439868014E-05
  1.2419564441302936E-05  6.3190860500909309E-06  1.4036613807673106E-05
 -1.1750229948476524E-05  1.1343477152016008E-05  4.8932162787846972E-06
  9.7073603857501546E-06  1.4638961550306552E-05 -5.9774779708555264E-06
  3.8534308292675880E-06 -1.5652254991656284E-05 -6.0247311524167661E-06
 -3.8517370575847398E-06  2.4563917063519461E-06  1.5270483228009237E-05
  1.0956385932836695E-05  6.9218132757943987E-06 -1.3751501593501715E-05
 -3.5568151557232099E-06 -1.5686283565798140E-05 -5.0585487611299400E-06
 -9.9449036105230696E-06  1.3998694383101890E-05 -6.0486567849036801E-06
  3.0189632684449866E-08 -4.2536576638822050E-06  1.5660696016878405E-05
 -1.0591901511788745E-05  7.6082553472852862E-06 -1.3900682758137969E-05
 -2.5867190893635152E-07  3.9934607191874910E-06 -1.5564353325858387E-05
  1.0085075404437588E-05 -1.3790550709491876E-05  5.7331823960874042E-06
  1.1118919552990154E-05 -7.5442993233679546E-06  1.5170243753776339E-05
  3.7231152391465184E-06  1.5807903796408563E-05  5.0770517490699364E-06
 -3.2635130833250844E-06 -2.6250219168234013E-06 -1.5331423968963957E-05
 -1.0997684323991208E-05 -1.3652506477989567E-05  6.5823739111234201E-06
 -4.1227461460806924E-06  1.5568138093420021E-05  5.8790447823111846E-06
 -1.0487141046148749E-05 -8.8626734006419018E-06  1.2297611184023036E-05
virial             :real:2:3,3
  5.5432510688281582E-02  4.5667344360343926E-07  3.4270966212771358E-07
  4.5667344360317499E-07  5.5457548801276742E-02 -7.1996595008321361E-05
  3.4270966212767838E-07 -7.1996595008321361E-05  5.6921800407995118E-02
