################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.6599434483050025E+01   7.7830855491191372E+01   4.3264664646534705E+01   1.7251274315665661E+01
         1          2   1.9988202227894593E+01   1.2186731996953475E+02   7.0239964993198967E+01   3.3026040676899470E+01
         1          3   1.0021953287743779E+01   1.3110660244335622E+02   6.6868310578135862E+01   3.9558931661698857E+01
         1          4   1.2933745213317780E+00   8.5129853970636418E+01   3.2607544158332928E+01   2.1963554762958776E+01
         1          5   2.6835638067243966E-02   5.8016548892360085E+01   8.5171927021769847E+00   5.8561611907854818E+00
         1          6   4.2312381320006554E-07   3.3838148936021717E+01   4.8264579646927483E+00   2.5991891298690848E+00
         1          7   5.6173447441311834E-17   2.0161034841907437E+01   6.8902217650062205E+00   1.6670072928833228E+00
         1          8   5.5325488014158282E-36   1.0881690291586827E+01   4.0801548666451977E+00   1.8982610394095201E+00
         2          1   0.0000000000000000E+00   4.5978727867401403E+00   1.4620018059478820E-01   5.1021655667365096E-01
         2          2   0.0000000000000000E+00   1.1199558831294538E+00   1.3348052239524813E-01   2.0319752559728860E-01
         2          3   0.0000000000000000E+00   1.1199558831294538E+00   1.3348052239524813E-01   2.0319752559728860E-01
         2          4   0.0000000000000000E+00   1.2850936125599552E+00   8.9023063698581456E-02   7.5670250159130328E-02
         2          5   0.0000000000000000E+00   1.2850936125599552E+00   8.9023063698581456E-02   7.5670250159130328E-02
         2          6   0.0000000000000000E+00   2.0805037531857695E-01   4.4361559159574765E-02   5.1297293583926026E-02
         2          7   0.0000000000000000E+00   3.6635015493457734E-01   8.4273908090725366E-02   9.4603279245263003E-02
         2          8   0.0000000000000000E+00   3.6635015493457734E-01   8.4273908090725366E-02   9.4603279245263003E-02
         2          9   0.0000000000000000E+00   6.1682472717267178E-01   9.4239106043142076E-02   8.2418190457569263E-02
         2         10   0.0000000000000000E+00   5.0799123192526405E+00   1.9648019338873052E-01   6.5697347705059628E-01
         2         11   0.0000000000000000E+00   2.2476127717434813E+00   1.7167628931619119E-01   1.9230067967614414E-01
         2         12   0.0000000000000000E+00   2.2476127717434813E+00   1.7167628931619119E-01   1.9230067967614414E-01
         2         13   0.0000000000000000E+00   2.0744656947940481E+00   1.4947927848197501E-01   1.1018925855977131E-01
         2         14   0.0000000000000000E+00   2.0744656947940481E+00   1.4947927848197501E-01   1.1018925855977131E-01
         2         15   0.0000000000000000E+00   3.0517088244946339E-01   5.5812146476314578E-02   6.7731179916382153E-02
         2         16   0.0000000000000000E+00   3.8430068138536172E-01   7.3039945984321161E-02   4.2960706901440604E-02
         2         17   0.0000000000000000E+00   3.8430068138536172E-01   7.3039945984321161E-02   4.2960706901440604E-02
         2         18   0.0000000000000000E+00   7.0198490674152925E-01   9.0467038339289596E-02   6.3475091651007814E-02
         2         19   0.0000000000000000E+00   2.0589989427222339E+00   4.0092498194528370E-02   1.4717241416645277E-01
         2         20   0.0000000000000000E+00   2.5757074278625675E-01   2.0281527695780732E-02   4.1961663836273741E-02
         2         21   0.0000000000000000E+00   2.5757074278625675E-01   2.0281527695780732E-02   4.1961663836273741E-02
         2         22   0.0000000000000000E+00   3.7006740145508960E-01   6.9417872032846595E-03   1.3554892585425660E-02
         2         23   0.0000000000000000E+00   3.7006740145508960E-01   6.9417872032846595E-03   1.3554892585425660E-02
         2         24   0.0000000000000000E+00   3.0507792009655008E-02   4.3119586411715996E-03   5.5713090333921996E-03
         2         25   0.0000000000000000E+00   4.5340296398838728E-02   6.0172587691802474E-03   8.5147607388386688E-03
         2         26   0.0000000000000000E+00   4.5340296398838728E-02   6.0172587691802474E-03   8.5147607388386688E-03
         2         27   0.0000000000000000E+00   1.4159291963508733E-01   1.1223508334742388E-02   1.2387250687482552E-02
         2         28   0.0000000000000000E+00   1.5483978439456505E+00   3.3798067035128200E-02   1.2032398544806648E-01
         2         29   0.0000000000000000E+00   7.0771893376818407E-01   1.5155844302526547E-02   2.4336215403217353E-02
         2         30   0.0000000000000000E+00   7.0771893376818407E-01   1.5155844302526547E-02   2.4336215403217353E-02
         2         31   0.0000000000000000E+00   8.2253532910601834E-01   1.0449216081955521E-02   2.1411464362635205E-02
         2         32   0.0000000000000000E+00   8.2253532910601834E-01   1.0449216081955521E-02   2.1411464362635205E-02
         2         33   0.0000000000000000E+00   3.5745869047619387E-02   3.9994336231573384E-03   5.6871705660723358E-03
         2         34   0.0000000000000000E+00   6.6345325443851355E-02   2.7525206887334674E-03   2.5720479173540166E-03
         2         35   0.0000000000000000E+00   6.6345325443851355E-02   2.7525206887334674E-03   2.5720479173540166E-03
         2         36   0.0000000000000000E+00   1.6862782668501355E-01   5.7899093754894332E-03   6.6369885207689149E-03
         2         37   1.6958218976078481E+01   7.7687910103159354E+01   5.0392469251487000E+01   1.2098942531646520E+01
         2         38   2.3014804279479417E+01   1.2351806191707384E+02   7.1385028146323890E+01   2.0567788739317233E+01
         2         39   1.1665946142733425E+01   1.2553428372020662E+02   6.6552845694005953E+01   2.2587100772777443E+01
         2         40   9.0112208418541762E-01   7.6607757886672886E+01   4.1436920104974000E+01   1.4085343207215539E+01
         2         41   8.0879896671858395E-02   4.1029284891958909E+01   2.5049589834854640E+01   7.7311733240170009E+00
         2         42   2.9920854133813274E-01   2.6128263032655070E+01   9.9046338743566480E+00   4.6957438827601798E+00
         2         43   6.1318901028240935E-05   2.6930860811533064E+00   5.9157146297063168E-01   4.7004274400856810E-01
         2         44   4.5751914274312143E-13   2.9487161344098363E+00   1.5115077563038901E-01   3.3667310521451571E-01
         3          1   7.3658173091054235E-01   2.1682729165847605E+00   1.3729805067221830E+00   2.3699679002936416E-01
