################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.8307649199617682E-01 a         1     0     1     1     1
 -6.5914132373510848E-01 a         2     0     1     1     2
  8.4764106656800065E-02 a         3     0     1     1     3
  1.2988347084058208E-01 a         4     0     1     1     4
  8.1156234519941073E-01 a         5     0     1     1     5
 -7.4449023589754881E-01 a         6     0     1     1     6
 -3.9222304671099750E-01 a         7     0     1     1     7
  1.2333391416413253E+00 a         8     0     1     1     8
 -1.3609701116338688E+00 a         9     0     1     1     9
  2.0965092950993753E+00 a        10     0     1     1    10
 -4.5068633646682310E-01 a        11     0     1     1    11
 -6.8772867451810005E-01 a        12     0     1     1    12
 -2.6139141346233767E+00 a        13     0     1     1    13
 -1.2489617254289622E+00 a        14     0     1     1    14
 -9.9713448043979114E-01 a        15     0     1     1    15
 -1.3416726619494252E+00 a        16     0     1     1    16
 -6.4958734977187882E-01 a        17     0     1     1    17
  1.3652348070807785E-01 a        18     0     1     1    18
  1.5627376737702553E-01 a        19     0     1     1    19
 -1.9398776700653331E-01 a        20     0     1     1    20
  5.2513349113272312E-01 a        21     0     1     1    21
  3.2215930174401336E-01 a        22     0     1     1    22
 -2.8801916984122111E-01 a        23     0     1     1    23
  2.1975317674153709E+00 a        24     0     1     1    24
  1.3983787390464510E+00 a        25     0     1     1    25
 -3.9934263953213106E-01 a        26     0     2     1     1
 -3.7817625693589746E-01 a        27     0     2     1     2
 -9.8214571583885146E-03 a        28     0     2     1     3
  2.1125387797437073E-01 a        29     0     2     1     4
 -6.3711279810315091E-01 a        30     0     2     1     5
  4.9412081109551809E-01 a        31     0     2     1     6
 -7.5254093380559806E-01 a        32     0     2     1     7
 -1.1180200784484624E+00 a        33     0     2     1     8
  4.2192312806121179E-01 a        34     0     2     1     9
 -1.7801145151169666E+00 a        35     0     2     1    10
  6.8087329999523949E-01 a        36     0     2     1    11
  7.3195183592676083E-01 a        37     0     2     1    12
  7.0240139595302464E-01 a        38     0     2     1    13
  9.9157762245051040E-01 a        39     0     2     1    14
  1.3900099170233495E+00 a        40     0     2     1    15
  6.5436482430346521E-01 a        41     0     2     1    16
  4.7538952066868556E-01 a        42     0     2     1    17
  5.2641557846043485E-01 a        43     0     2     1    18
 -2.8083749613751990E-01 a        44     0     2     1    19
 -1.6312095749595354E-01 a        45     0     2     1    20
 -1.4721357274428537E-01 a        46     0     2     1    21
 -2.5653491162146558E-01 a        47     0     2     1    22
  6.2336394514990519E-02 a        48     0     2     1    23
 -1.0706569046842185E+00 a        49     0     2     1    24
 -9.9635337586347772E-01 a        50     0     2     1    25
  6.2123709920545478E-01 a        51     0     3     1     1
  8.4538143936156662E-01 a        52     0     3     1     2
 -4.8645124279818514E-01 a        53     0     3     1     3
 -1.2739546844889227E-01 a        54     0     3     1     4
  2.7385003075408327E-02 a        55     0     3     1     5
  6.1907008305818612E-01 a        56     0     3     1     6
  3.9803322153837528E-01 a        57     0     3     1     7
 -2.6288467248215861E+00 a        58     0     3     1     8
  2.4787690583298738E-01 a        59     0     3     1     9
 -2.6462210800472650E+00 a        60     0     3     1    10
  1.4053885961486630E+00 a        61     0     3     1    11
  1.6451321123306102E+00 a        62     0     3     1    12
  1.0551655660463468E+00 a        63     0     3     1    13
  1.1629529780345917E+00 a        64     0     3     1    14
  1.3698780889197453E+00 a        65     0     3     1    15
  1.6341264694180162E+00 a        66     0     3     1    16
  1.6808758635989356E+00 a        67     0     3     1    17
  4.9992332875311302E-01 a        68     0     3     1    18
 -9.6956061421521955E-01 a        69     0     3     1    19
 -9.4136989900095991E-01 a        70     0     3     1    20
  5.0691522353100771E-01 a        71     0     3     1    21
 -1.2037671685498415E-01 a        72     0     3     1    22
  1.1460004105952630E+00 a        73     0     3     1    23
 -1.8794601311760428E+00 a        74     0     3     1    24
 -1.5341484263598355E+00 a        75     0     3     1    25
  1.1817433686053296E-01 a        76     0     4     1     1
 -3.4700137855062635E-01 a        77     0     4     1     2
  4.7837737326661622E-01 a        78     0     4     1     3
  3.9072015437872715E-01 a        79     0     4     1     4
